

TKAVG

278.15

279.25

283.7

273.7

275.65

273.75

278.4

275.65

271.2

268.45

272.05

279

273.15

266.45

269.85

272.05

280.65

276.5

281.2
